time,high_BTC,low_BTC,open_BTC,volumefrom_BTC,volumeto_BTC,close_BTC,conversionType_BTC,conversionSymbol_BTC,high_ETH,low_ETH,open_ETH,volumefrom_ETH,volumeto_ETH,close_ETH,conversionType_ETH,conversionSymbol_ETH
2023-07-27,29566.99,29082.04,29352.06,12727.55,373268935.18,29217.05,direct,,1885.88,1854.75,1871.94,92489.79,172986040.03,1860.95,direct,
2023-07-28,29528.45,29121.24,29217.05,11707.43,342975082.63,29316.82,direct,,1882.21,1856.42,1860.95,84360.48,157806868.85,1874.32,direct,
2023-07-29,29406.57,29258.14,29316.82,4989.17,146316009.97,29358.76,direct,,1886.25,1869.84,1874.32,35930.88,67420133.0,1880.9,direct,
2023-07-30,29449.84,29043.43,29358.76,7661.41,224246250.77,29283.34,direct,,1885.32,1849.68,1880.9,71017.31,132571482.86,1861.71,direct,
2023-07-31,29524.99,29108.82,29283.34,14553.25,426457343.16,29231.47,direct,,1876.63,1850.86,1861.71,108149.1,201325420.68,1856.01,direct,
2023-08-01,29721.48,28564.09,29231.47,28319.33,822433494.24,29699.74,direct,,1874.67,1812.77,1856.01,219807.87,404099981.78,1872.96,direct,
2023-08-02,30029.06,28914.46,29699.74,28507.89,838251477.68,29163.69,direct,,1878.64,1820.43,1872.96,152558.88,281934846.64,1839.07,direct,
2023-08-03,29397.03,28945.61,29163.69,15427.08,450334651.17,29177.75,direct,,1857.31,1824.39,1839.07,113475.48,208780805.48,1834.44,direct,
2023-08-04,29308.95,28794.51,29177.75,12900.38,375805085.38,29078.51,direct,,1849.34,1815.23,1834.44,118591.31,217682208.64,1827.52,direct,
2023-08-05,29111.36,28953.98,29078.51,4135.0,120051247.27,29050.34,direct,,1837.2,1824.73,1827.52,40010.61,73250862.43,1834.9,direct,
2023-08-06,29164.68,28962.89,29050.34,4361.16,126689336.09,29046.16,direct,,1836.84,1824.48,1834.9,42056.49,76980593.22,1827.81,direct,
2023-08-07,29245.27,28672.37,29046.16,16388.65,475156597.17,29182.16,direct,,1844.14,1800.61,1827.81,138712.48,252903494.71,1827.07,direct,
2023-08-08,30210.36,29111.88,29182.16,26561.94,786792606.34,29770.51,direct,,1875.47,1824.41,1827.07,153819.57,284363251.37,1855.78,direct,
2023-08-09,30120.86,29356.43,29770.51,17933.09,532770863.32,29566.47,direct,,1870.77,1844.53,1855.78,108839.38,201917130.17,1854.14,direct,
2023-08-10,29707.55,29319.58,29566.47,12722.06,375142806.93,29428.1,direct,,1864.25,1844.49,1854.14,72694.36,134629659.34,1850.51,direct,
2023-08-11,29535.4,29219.56,29428.1,10550.47,310027638.11,29403.56,direct,,1855.2,1837.1,1850.51,74423.11,137388777.18,1847.01,direct,
2023-08-12,29471.12,29356.08,29403.56,3495.96,102819295.5,29417.08,direct,,1852.66,1845.37,1847.01,35133.53,64959465.73,1849.08,direct,
2023-08-13,29447.27,29257.12,29417.08,3928.8,115373186.78,29281.55,direct,,1860.01,1833.39,1849.08,44017.87,81329475.04,1839.07,direct,
2023-08-14,29664.61,29082.39,29281.55,12333.02,362522208.47,29409.22,direct,,1854.17,1833.55,1839.07,80532.62,148596306.79,1844.02,direct,
2023-08-15,29460.86,29056.77,29409.22,10214.85,299026558.28,29171.23,direct,,1845.58,1811.79,1844.02,75434.51,138258892.85,1827.21,direct,
2023-08-16,29228.22,28696.21,29171.23,16506.96,479152538.98,28702.8,direct,,1829.42,1796.32,1827.21,116390.89,211465905.78,1805.68,direct,
2023-08-17,28752.02,25328.06,28702.8,50603.71,1394530695.43,26629.67,direct,,1808.11,1538.26,1805.68,342502.46,586328524.5,1681.74,direct,
2023-08-18,26823.13,25629.62,26629.67,33853.32,888090076.41,26049.69,direct,,1699.0,1641.05,1681.74,244267.04,408868800.0,1661.34,direct,
2023-08-19,26266.25,25797.39,26049.69,10190.62,265159375.46,26095.8,direct,,1695.56,1653.99,1661.34,85392.14,142631159.81,1669.67,direct,
2023-08-20,26291.33,25983.85,26095.8,7358.66,192271431.08,26191.01,direct,,1694.11,1662.16,1669.67,77051.98,129059232.43,1685.38,direct,
2023-08-21,26248.2,25819.92,26191.01,16512.71,430024076.12,26126.18,direct,,1687.62,1649.81,1685.38,133144.55,222346407.69,1667.37,direct,
2023-08-22,26137.6,25369.8,26126.18,19880.36,514473682.56,26043.01,direct,,1669.14,1582.66,1667.37,187472.16,306952239.8,1634.23,direct,
2023-08-23,26807.82,25802.48,26043.01,25584.15,672652092.31,26429.4,direct,,1700.22,1629.05,1634.23,197778.05,328759845.74,1679.23,direct,
2023-08-24,26565.88,25859.32,26429.4,17135.14,449180401.68,26166.22,direct,,1682.97,1635.8,1679.23,136664.44,226405478.01,1660.46,direct,
2023-08-25,26291.13,25759.58,26166.22,18808.91,489263026.85,26051.29,direct,,1675.75,1634.84,1660.46,152712.57,252242786.57,1652.94,direct,
2023-08-26,26109.19,25979.58,26051.29,3572.84,93024725.64,26010.35,direct,,1654.84,1643.21,1652.94,33734.15,55624499.94,1646.3,direct,
2023-08-27,26168.79,25966.75,26010.35,4137.97,107924452.3,26091.32,direct,,1659.41,1645.5,1646.3,41210.49,68111939.3,1657.6,direct,
2023-08-28,26233.53,25861.84,26091.32,11633.38,302943657.3,26106.0,direct,,1662.45,1622.25,1657.6,106796.31,175729854.06,1652.22,direct,
2023-08-29,28154.08,25911.89,26106.0,39870.36,1089036684.85,27724.41,direct,,1745.27,1639.27,1652.22,216413.42,368669910.11,1729.38,direct,
2023-08-30,27766.41,27036.49,27724.41,19031.6,520197058.0,27305.41,direct,,1730.8,1696.18,1729.38,112822.42,193154994.53,1705.51,direct,
2023-08-31,27563.68,25683.18,27305.41,27850.06,741278108.53,25937.29,direct,,1725.0,1630.36,1705.51,180257.29,302646661.02,1645.67,direct,
2023-09-01,26137.14,25323.44,25937.29,24807.18,639696809.37,25798.79,direct,,1654.21,1602.15,1645.67,140655.9,229505773.05,1628.51,direct,
2023-09-02,25980.31,25729.66,25798.79,7017.96,181289556.36,25868.56,direct,,1644.58,1627.58,1628.51,44394.41,72557044.83,1636.88,direct,
2023-09-03,26115.72,25805.82,25868.56,6190.05,160541183.85,25971.37,direct,,1646.49,1625.26,1636.88,51338.16,83967516.22,1635.72,direct,
2023-09-04,26089.36,25636.28,25971.37,8832.41,228454428.06,25816.24,direct,,1644.24,1616.39,1635.72,65027.05,106014643.86,1629.77,direct,
2023-09-05,25878.61,25567.56,25816.24,10888.31,280146729.52,25785.01,direct,,1646.6,1609.17,1629.77,95396.0,155443741.05,1633.83,direct,
2023-09-06,26019.64,25379.85,25785.01,15183.61,390027105.24,25751.71,direct,,1667.18,1609.76,1633.83,115555.19,188596252.64,1632.35,direct,
2023-09-07,26426.41,25600.8,25751.71,18952.45,491838528.79,26264.75,direct,,1658.54,1622.78,1632.35,108972.21,178418926.08,1647.63,direct,
2023-09-08,26443.61,25650.9,26264.75,18556.34,482397556.59,25907.13,direct,,1658.02,1616.13,1647.63,113530.21,185655920.66,1636.13,direct,
2023-09-09,25936.62,25799.89,25907.13,4094.4,105931726.4,25898.41,direct,,1637.06,1629.53,1636.13,29811.67,48715977.58,1635.27,direct,
2023-09-10,26020.84,25589.02,25898.41,8434.22,217583144.54,25833.67,direct,,1635.6,1598.26,1635.27,87612.55,141811583.08,1616.78,direct,
2023-09-11,25889.38,24911.78,25833.67,24481.75,619642052.88,25157.07,direct,,1618.59,1531.41,1616.78,222853.36,350478203.43,1551.53,direct,
2023-09-12,26545.24,25128.37,25157.07,36111.44,937711286.48,25840.34,direct,,1624.44,1549.46,1551.53,182681.33,290923261.09,1593.09,direct,
2023-09-13,26432.59,25768.65,25840.34,18955.32,495397769.94,26227.49,direct,,1618.1,1581.83,1593.09,146553.33,234456204.57,1607.97,direct,
2023-09-14,26845.74,26136.39,26227.49,24488.8,649517751.61,26533.66,direct,,1643.67,1607.51,1607.97,176132.72,286524359.38,1627.01,direct,
2023-09-15,26879.57,26224.91,26533.66,17339.0,459310066.65,26605.49,direct,,1653.05,1611.89,1627.01,107443.76,174858821.85,1641.48,direct,
2023-09-16,26771.68,26459.99,26605.49,7062.9,187703875.45,26569.13,direct,,1652.0,1631.94,1641.48,51027.56,83641957.75,1634.86,direct,
2023-09-17,26621.93,26413.39,26569.13,5698.34,151125765.17,26533.12,direct,,1635.55,1612.65,1634.86,52875.06,85972165.39,1622.81,direct,
2023-09-18,27425.7,26394.81,26533.12,29536.95,797114111.3,26767.82,direct,,1669.3,1606.15,1622.81,154872.45,254499442.83,1637.19,direct,
2023-09-19,27493.85,26676.6,26767.82,24703.82,670630172.73,27219.02,direct,,1660.5,1627.21,1637.19,112415.8,184891179.92,1643.58,direct,
2023-09-20,27389.22,26814.07,27219.02,21439.58,581302466.15,27126.4,direct,,1649.54,1605.7,1643.58,148630.68,242158870.38,1622.39,direct,
2023-09-21,27162.0,26373.55,27126.4,20948.1,559336631.68,26567.47,direct,,1625.21,1568.44,1622.39,150102.38,239767218.36,1584.04,direct,
2023-09-22,26738.04,26478.87,26567.47,15354.82,408613785.26,26583.16,direct,,1602.27,1577.13,1584.04,102642.72,163522895.05,1593.13,direct,
2023-09-23,26640.84,26522.49,26583.16,5251.29,139605320.21,26585.41,direct,,1598.18,1588.07,1593.13,37820.27,60256774.05,1593.91,direct,
2023-09-24,26732.91,26146.79,26585.41,9848.35,260953441.64,26261.44,direct,,1600.73,1570.95,1593.91,64815.76,103003077.92,1580.76,direct,
2023-09-25,26439.02,25997.17,26261.44,19804.27,518905094.49,26297.93,direct,,1596.93,1563.59,1580.76,129190.89,204351095.27,1588.04,direct,
2023-09-26,26395.42,26090.75,26297.93,12902.09,338286231.16,26212.59,direct,,1598.33,1579.84,1588.04,106488.35,169116251.08,1593.27,direct,
2023-09-27,26828.5,26096.78,26212.59,24188.11,638562791.04,26360.2,direct,,1632.85,1582.93,1593.27,165773.31,266115436.32,1597.73,direct,
2023-09-28,27306.05,26328.53,26360.2,30832.51,827813877.45,27027.2,direct,,1667.83,1597.1,1597.73,254866.68,417307877.44,1652.9,direct,
2023-09-29,27233.94,26674.22,27027.2,21721.72,585322764.87,26909.4,direct,,1688.1,1648.4,1652.9,208708.07,348158317.18,1667.44,direct,
2023-09-30,27095.39,26887.09,26909.4,7260.78,195916128.74,26964.27,direct,,1693.97,1666.36,1667.44,100605.59,168691450.13,1670.97,direct,
2023-10-01,28060.49,26958.76,26964.27,16861.15,464200302.08,27994.51,direct,,1756.57,1668.69,1670.97,153318.81,260450967.05,1733.44,direct,
2023-10-02,28585.13,27312.81,27994.51,42701.42,1198411956.48,27507.22,direct,,1743.65,1638.79,1733.44,321968.06,547118665.83,1662.8,direct,
2023-10-03,27669.05,27170.07,27507.22,22621.25,620603083.21,27428.66,direct,,1670.57,1643.9,1662.8,193423.11,320387316.67,1656.96,direct,
2023-10-04,27836.54,27222.97,27428.66,18061.23,497243557.18,27789.8,direct,,1657.76,1625.61,1656.96,157246.2,258093521.67,1646.79,direct,
2023-10-05,28128.37,27363.01,27789.8,25127.82,696054430.54,27414.59,direct,,1654.85,1608.96,1646.79,166310.68,270654077.48,1611.72,direct,
2023-10-06,28280.04,27181.63,27414.59,25278.57,701648471.47,27946.61,direct,,1661.26,1611.72,1611.72,154920.65,253531816.85,1645.93,direct,
2023-10-07,28035.05,27864.11,27946.61,7351.08,205394649.0,27973.69,direct,,1648.54,1631.04,1645.93,54861.79,89945206.18,1634.64,direct,
2023-10-08,28105.36,27714.35,27973.69,8547.03,238690010.87,27933.57,direct,,1642.17,1617.5,1634.64,74219.89,121021981.15,1633.61,direct,
2023-10-09,27999.8,27282.89,27933.57,21887.87,603964078.09,27598.77,direct,,1636.39,1547.88,1633.61,213202.04,339017511.32,1580.25,direct,
2023-10-10,27735.72,27298.5,27598.77,18600.95,511109469.33,27395.4,direct,,1594.87,1551.22,1580.25,161967.57,254975021.38,1567.68,direct,
2023-10-11,27475.69,26531.55,27395.4,30496.51,821395574.15,26871.21,direct,,1578.37,1545.6,1567.68,188645.12,294808400.58,1566.52,direct,
2023-10-12,26937.98,26549.78,26871.21,16400.37,438531983.5,26756.23,direct,,1567.96,1521.78,1566.52,167816.78,259081681.89,1539.43,direct,
2023-10-13,27110.91,26674.97,26756.23,18507.04,496779424.55,26862.9,direct,,1573.36,1537.64,1539.43,144951.05,224374179.99,1552.12,direct,
2023-10-14,26982.78,26810.02,26862.9,5865.21,157685357.78,26854.52,direct,,1561.42,1545.01,1552.12,49919.63,77502622.78,1555.02,direct,
2023-10-15,27297.26,26813.06,26854.52,10978.68,297110024.59,27177.41,direct,,1566.8,1548.99,1555.02,62753.06,97772202.07,1557.99,direct,
2023-10-16,30009.15,27131.48,27177.41,66720.48,1884462991.7,28518.37,direct,,1640.11,1555.34,1557.99,280738.92,446574747.49,1600.09,direct,
2023-10-17,28628.83,28094.14,28518.37,26038.83,739741149.31,28409.46,direct,,1601.37,1553.3,1600.09,151475.09,238856568.1,1565.4,direct,
2023-10-18,28988.79,28156.7,28409.46,23999.55,682875511.71,28328.07,direct,,1585.93,1556.22,1565.4,143924.79,226187063.01,1563.66,direct,
2023-10-19,28927.17,28135.5,28328.07,25550.36,730081363.3,28733.78,direct,,1575.26,1542.75,1563.66,153441.72,239202217.14,1567.55,direct,
2023-10-20,30243.12,28596.96,28733.78,42016.08,1241026952.55,29684.37,direct,,1631.26,1562.17,1567.55,229023.77,367271257.58,1604.86,direct,
2023-10-21,30365.61,29480.22,29684.37,15637.83,467626116.49,29924.08,direct,,1644.6,1593.24,1604.86,137236.81,222184082.89,1629.44,direct,
2023-10-22,30232.64,29674.58,29924.08,13845.91,414432274.92,30001.44,direct,,1668.32,1622.28,1629.44,157183.18,257522472.2,1664.18,direct,
2023-10-23,34739.17,29898.26,30001.44,73249.41,2308556876.22,33084.08,direct,,1799.36,1658.04,1664.18,457998.91,780661240.02,1766.32,direct,
2023-10-24,35183.22,32857.8,33084.08,75112.67,2559949343.79,33923.52,direct,,1854.43,1746.5,1766.32,517541.13,932151066.26,1785.2,direct,
2023-10-25,35136.87,33698.9,33923.52,43002.87,1481128342.82,34503.4,direct,,1817.52,1760.54,1785.2,302831.01,542177185.66,1787.67,direct,
2023-10-26,34836.51,33746.16,34503.4,36463.09,1248469956.72,34157.06,direct,,1865.88,1763.34,1787.67,344775.19,622443034.73,1803.72,direct,
2023-10-27,34246.78,33406.13,34157.06,30792.41,1044635721.14,33907.7,direct,,1804.16,1745.3,1803.72,226527.41,403162777.61,1779.98,direct,
2023-10-28,34494.4,33876.07,33907.7,10888.97,371696781.35,34090.05,direct,,1803.03,1771.67,1779.98,84407.79,150723329.54,1776.59,direct,
2023-10-29,34761.09,33947.8,34090.05,13639.48,469534963.71,34535.38,direct,,1811.49,1763.3,1776.59,92197.88,165219418.28,1795.69,direct,
2023-10-30,34862.12,34090.22,34535.38,23948.89,825552244.82,34494.56,direct,,1830.35,1778.41,1795.69,168252.25,303881269.37,1809.85,direct,
2023-10-31,34726.05,34058.4,34494.56,21982.74,756326173.72,34657.73,direct,,1819.86,1782.09,1809.85,182002.83,328080843.27,1815.45,direct,
2023-11-01,35623.76,34096.9,34657.73,34274.26,1190955576.06,35439.76,direct,,1857.88,1784.08,1815.45,282652.25,514586090.27,1847.63,direct,
